Date	Time	PT_ECO.TR01_WU311_B15.AA.R2251_ActValue[°C]	PT_ECO.TR01_WU312_B15.AA.R2251_ActValue[°C]	PT_ECO.TR01_WU314_B15.AA.R2251_ActValue[°C]	PT_ECO.TR01_WU321_B15.AA.R2251_ActValue[°C]	PT_ECO.TR02_WU322_B15.AA.R2251_ActValue[°C]	PT_ECO.TR02_WU323_B15.AA.R2251_ActValue[°C]
2-Jun-25	 03:02:52 am	32.43839264	32.23086929	37.05577469	36.80934143	35.18806839	33.17769241
2-Jun-25	 03:02:53 am	32.43839264	32.23086929	36.640728	36.80934143	35.18806839	33.17769241
2-Jun-25	 03:02:59 am	32.42542267	32.23086929	36.640728	36.80934143	35.09727859	33.17769241
2-Jun-25	 03:03:00 am	32.50324249	32.33463287	36.640728	36.7704277	35.08430862	33.2295723
2-Jun-25	 03:03:01 am	32.50324249	32.33463287	36.69260788	37.04280472	35.08430862	33.24254227
2-Jun-25	 03:03:02 am	32.50324249	32.33463287	36.8223114	37.04280472	35.08430862	33.24254227
2-Jun-25	 03:03:08 am	32.5421524	32.23086929	36.8223114	37.04280472	34.87678528	33.24254227
2-Jun-25	 03:03:09 am	32.5421524	32.23086929	36.8223114	37.5486412	34.87678528	33.24254227
2-Jun-25	 03:03:10 am	32.5421524	32.23086929	36.8223114	37.5486412	34.87678528	33.24254227
2-Jun-25	 03:03:16 am	32.25680923	32.5421524	36.8223114	37.5486412	35.13618851	33.45006561
2-Jun-25	 03:03:17 am	32.25680923	32.5421524	36.8223114	36.56290817	35.13618851	33.45006561
2-Jun-25	 03:03:18 am	32.25680923	32.5421524	37.04280472	36.56290817	35.13618851	33.45006561
2-Jun-25	 03:03:24 am	32.37354279	32.50324249	37.04280472	36.56290817	35.13618851	33.37224579
2-Jun-25	 03:03:25 am	32.50324249	32.55512619	37.04280472	36.97795105	35.13618851	33.37224579
2-Jun-25	 03:03:26 am	32.50324249	32.55512619	37.00389099	36.88716125	35.14915848	33.37224579
2-Jun-25	 03:03:27 am	32.50324249	32.55512619	37.06874466	36.88716125	35.14915848	33.30739594
2-Jun-25	 03:03:32 am	32.50324249	32.58106613	37.06874466	36.88716125	35.14915848	33.30739594
2-Jun-25	 03:03:34 am	32.50324249	32.58106613	37.06874466	37.28923798	35.14915848	33.30739594
2-Jun-25	 03:03:35 am	32.50324249	32.58106613	36.92607117	37.28923798	35.14915848	33.09987259
2-Jun-25	 03:03:40 am	32.85343933	32.24383926	36.92607117	37.28923798	35.14915848	33.09987259
2-Jun-25	 03:03:42 am	32.85343933	32.24383926	36.92607117	36.71854782	34.81193542	33.09987259
2-Jun-25	 03:03:43 am	32.85343933	32.24383926	38.01556396	36.71854782	34.81193542	33.34630585
2-Jun-25	 03:03:48 am	32.80155945	32.37354279	38.01556396	36.71854782	34.81193542	33.34630585
2-Jun-25	 03:03:49 am	32.80155945	32.36057281	38.01556396	36.71854782	34.81193542	33.34630585
2-Jun-25	 03:03:50 am	32.77561569	32.36057281	38.01556396	36.83528137	35.14915848	33.34630585
2-Jun-25	 03:03:51 am	32.77561569	32.36057281	37.95071411	36.7704277	35.13618851	33.34630585
2-Jun-25	 03:03:52 am	32.77561569	32.36057281	37.78210068	36.7704277	35.13618851	33.35927582
2-Jun-25	 03:03:56 am	32.77561569	32.33463287	37.78210068	36.7704277	35.13618851	33.35927582
2-Jun-25	 03:03:57 am	32.61997604	32.33463287	37.78210068	36.7704277	35.13618851	33.35927582
2-Jun-25	 03:03:59 am	32.61997604	32.33463287	37.78210068	36.56290817	35.17509842	33.35927582
2-Jun-25	 03:04:00 am	32.61997604	32.33463287	38.15823746	36.56290817	35.17509842	33.57976913
2-Jun-25	 03:04:04 am	32.61997604	32.55512619	38.15823746	36.56290817	35.17509842	33.57976913
2-Jun-25	 03:04:05 am	32.91828918	32.55512619	38.15823746	36.56290817	35.17509842	33.57976913
2-Jun-25	 03:04:07 am	32.91828918	32.55512619	38.15823746	36.99092102	34.7730217	33.57976913
2-Jun-25	 03:04:08 am	32.91828918	32.55512619	37.39299774	36.99092102	34.7730217	33.20363235
2-Jun-25	 03:04:12 am	32.91828918	32.43839264	37.39299774	36.99092102	34.7730217	33.20363235
2-Jun-25	 03:04:13 am	32.91828918	32.43839264	37.39299774	36.99092102	34.7730217	33.20363235
2-Jun-25	 03:04:15 am	32.91828918	32.4124527	37.39299774	36.95201111	34.96757507	33.20363235
2-Jun-25	 03:04:16 am	32.91828918	32.4124527	37.39299774	37.08171463	34.88975525	33.2295723
2-Jun-25	 03:04:17 am	32.89234924	32.4124527	37.44487762	37.08171463	34.88975525	33.25551224
2-Jun-25	 03:04:23 am	32.89234924	32.30869293	37.44487762	37.08171463	34.88975525	33.25551224
2-Jun-25	 03:04:24 am	32.89234924	32.30869293	37.44487762	37.08171463	34.88975525	33.21660233
2-Jun-25	 03:04:25 am	33.09987259	32.30869293	37.34111786	37.08171463	34.88975525	33.21660233
2-Jun-25	 03:04:31 am	33.09987259	32.97016907	37.34111786	36.56290817	35.16212845	33.21660233
2-Jun-25	 03:04:32 am	33.09987259	32.97016907	37.34111786	36.56290817	35.16212845	33.48897552
2-Jun-25	 03:04:33 am	32.85343933	32.97016907	37.73022079	36.56290817	35.16212845	33.48897552
2-Jun-25	 03:04:39 am	32.85343933	32.90531921	37.73022079	36.60181808	35.16212845	33.48897552
2-Jun-25	 03:04:40 am	32.85343933	32.9571991	37.73022079	36.69260788	35.08430862	33.33333588
2-Jun-25	 03:04:41 am	32.89234924	32.9571991	37.5486412	36.69260788	35.08430862	33.33333588
2-Jun-25	 03:04:42 am	32.91828918	32.9571991	37.56161118	36.69260788	35.08430862	33.33333588
